Time,SampleID,Litter,Site,Tx,PctC,PctDelMass,CarbonLoss5,CarbonLoss12,Mn,columnbreak,group5,group12,massloss5,massloss12
0,L1i,1,0,0.1.0,39.38514391,NA,NA,NA,0.033692575,,,,,
0,L1i,1,0,0.1.0,39.52419092,NA,NA,NA,0.029816129,,,,,
0,L1i,1,0,0.1.0,39.56566209,NA,NA,NA,0.031337924,,,,,
0,L2i,2,0,0.2.0,42.68120813,NA,NA,NA,0.302529748,,,,,
0,L2i,2,0,0.2.0,41.64089904,NA,NA,NA,0.260627389,,,,,
0,L2i,2,0,0.2.0,41.76034361,NA,NA,NA,0.284893548,,,,,
0,L3i,3,0,0.3.0,30.38942024,NA,NA,NA,0.387364333,,,,,
0,L3i,3,0,0.3.0,42.89253544,NA,NA,NA,0.29136991,,,,,
0,L3i,3,0,0.3.0,42.65337045,NA,NA,NA,0.398768433,,,,,
5,5_L1S1,1,1,5.1.1,37.47908488,18.0153008,1.758479701,NA,1.1519875,,1_1,,18.0153008,
5,5_L1S1,1,1,5.1.1,37.11431161,30.90411435,2.123252966,NA,1.262079942,,1_1,,30.90411435,
5,5_L1S1,1,1,5.1.1,37.25736848,51.58396651,1.9801961,NA,1.092100928,,1_1,,51.58396651,
5,5_L1S2,1,2,5.1.2,38.61199517,53.29544751,0.625569405,NA,0.11364121,,1_2,,53.29544751,
5,5_L1S2,1,2,5.1.2,43.00243125,72.6586219,-3.76486667,NA,0.105809211,,1_2,,72.6586219,
5,5_L1S2,1,2,5.1.2,42.73035894,66.11648151,-3.492794366,NA,0.108884279,,1_2,,66.11648151,
5,5_L1S3,1,3,5.1.3,43.22482661,94.34949202,-3.987262032,NA,NA,,1_3,,94.34949202,
5,5_L1S3,1,3,5.1.3,38.98711958,96.50724095,0.250444997,NA,NA,,1_3,,96.50724095,
5,5_L1S3,1,3,5.1.3,44.40085508,98.82382391,-5.163290502,NA,NA,,1_3,,98.82382391,
5,5_L2S1,2,1,5.2.1,34.98417627,25.41772783,6.919766143,NA,0.773515086,,2_1,,25.41772783,
5,5_L2S1,2,1,5.2.1,40.17217006,39.4458013,1.731772356,NA,0.579975,,2_1,,39.4458013,
5,5_L2S1,2,1,5.2.1,39.7517245,71.29207038,2.152217918,NA,0.498436813,,2_1,,71.29207038,
5,5_L2S2,2,2,5.2.2,41.2550696,32.08631704,0.648872819,NA,0.455854592,,2_2,,32.08631704,
5,5_L2S2,2,2,5.2.2,43.31207753,40.03472867,-1.408135115,NA,0.224161017,,2_2,,40.03472867,
